bob,campaign,12
Bartek,campaign,12
bob,campaign,26
dsadasdas,campaign,1
lolsss,campaign,12
lolsss,campaign,25
lolsss,survival,5
Btek,campaign,33
Btek,survival,34
Btsssk,survival,21
lolsss,campaign,38
lolplol,campaign,74
